ds,t1,hum,wind_speed,is_holiday,is_weekend,season
2024-08-19,17.22083333,71.58583333,13.24166667,0,0,1
2024-08-20,19.69583333,64.36083333,21.22916667,0,0,1
2024-08-21,16.67916667,64.00208333,19.2875,0,0,1
2024-08-22,17.82916667,77.81291667,24.07916667,0,0,1
2024-08-23,19.40416667,63.7225,25.29166667,0,0,1
2024-08-24,15.3,88.40291667,12.19166667,0,1,1
2024-08-25,15.475,72.07875,19.325,0,1,1
2024-08-26,18.35833333,68.08916667,16.3,1,0,1
2024-08-27,19.925,67.25416667,14.10833333,0,0,1
2024-08-28,21.30416667,62.72625,10.15833333,0,0,1
2024-08-29,18.275,62.84666667,12.6375,0,0,1
2024-08-30,17.41666667,64.06041667,9.545833333,0,0,1
2024-08-31,17.84166667,70.38666667,16.62083333,0,1,1
2024-09-01,21.56666667,74.75916667,12.70833333,0,1,2
2024-09-02,19.94166667,84.74666667,12.9625,0,0,2
2024-09-03,19.24583333,77.85083333,11.0875,0,0,2
2024-09-04,17.27916667,68.38416667,8.6625,0,0,2
2024-09-05,16.825,90.06083333,13.65,0,0,2
2024-09-06,17.6125,93.80916667,8.5875,0,0,2
2024-09-07,17.2,85.8675,3.866666667,0,1,2
2024-09-08,17.09583333,85.985,8.158333333,0,1,2
2024-09-09,15.5125,78.17666667,16.1125,0,0,2
2024-09-10,14.28333333,79.03208333,18.675,0,0,2
2024-09-11,11.23333333,74.09291667,17.50416667,0,0,2
2024-09-12,10.5875,70.89208333,12.39583333,0,0,2
2024-09-13,11.1875,65.76041667,6.320833333,0,0,2
2024-09-14,12.75416667,70.36166667,9.058333333,0,1,2
2024-09-15,14.55416667,75.80708333,9.883333333,0,1,2
2024-09-16,16.22083333,70.72708333,9.8,0,0,2
2024-09-17,16.13333333,68.21833333,13.42916667,0,0,2
2024-09-18,18.925,69.68583333,16.92083333,0,0,2
2024-09-19,19.675,72.07125,17.5875,0,0,2
2024-09-20,18.74166667,71.37791667,15.75,0,0,2
2024-09-21,19.1875,75.56916667,9.608333333,0,1,2
2024-09-22,18.02083333,90.0075,9.470833333,0,1,2
2024-09-23,16.94583333,85.68166667,15.49583333,0,0,2
2024-09-24,14.99166667,79.36041667,11.78333333,0,0,2
2024-09-25,13.94583333,82.16458333,11.00833333,0,0,2
2024-09-26,14.4625,88.13333333,16.87083333,0,0,2
2024-09-27,11.5875,77.58958333,16.075,0,0,2
2024-09-28,9.583333333,74.57375,8.241666667,0,1,2
2024-09-29,10.80416667,76.75166667,14.62083333,0,1,2
2024-09-30,14.0375,87.48166667,23.7125,0,0,2
2024-10-01,12.70833333,87.40875,19.67916667,0,0,2
2024-10-02,14.38333333,84.25375,15.2875,0,0,2
2024-10-03,12.12916667,76.33208333,9.033333333,0,0,2
2024-10-04,10.95833333,80.28541667,5.241666667,0,0,2
2024-10-05,13.0,71.30375,10.26666667,0,1,2
2024-10-06,13.55,83.44708333,13.42916667,0,1,2
2024-10-07,14.86666667,84.535,13.18333333,0,0,2
2024-10-08,14.94166667,87.25791667,15.00833333,0,0,2
2024-10-09,14.24166667,83.73708333,12.80833333,0,0,2
2024-10-10,10.98333333,73.94166667,11.45,0,0,2
2024-10-11,8.245833333,75.48166667,5.170833333,0,0,2
2024-10-12,11.25416667,76.33208333,13.5875,0,1,2
2024-10-13,8.491666667,71.45541667,8.966666667,0,1,2
2024-10-14,10.45416667,88.88125,11.66666667,0,0,2
2024-10-15,13.7375,89.4275,12.575,0,0,2
2024-10-16,17.80416667,85.21708333,15.05416667,0,0,2
2024-10-17,15.56666667,83.10625,10.8875,0,0,2
2024-10-18,12.49166667,87.81,8.641666667,0,0,2
2024-10-19,14.07083333,86.1375,12.82916667,0,1,2
2024-10-20,14.5,85.18166667,20.525,0,1,2
2024-10-21,13.125,82.02208333,12.15833333,0,0,2
2024-10-22,12.02083333,88.39916667,10.31666667,0,0,2
2024-10-23,13.59583333,85.44708333,9.0,0,0,2
2024-10-24,13.25416667,84.40208333,11.77083333,0,0,2
2024-10-25,14.12916667,94.3175,8.758333333,0,0,2
2024-10-26,12.12083333,94.48083333,4.5,0,1,2
2024-10-27,11.268,86.1256,7.34,0,1,2
2024-10-28,13.77083333,89.80666667,15.55416667,0,0,2
2024-10-29,14.05416667,89.84208333,6.891666667,0,0,2
2024-10-30,13.4125,80.95958333,5.004166667,0,0,2
2024-10-31,12.425,83.21208333,4.020833333,0,0,2
2024-11-01,12.3375,79.90166667,8.4375,0,0,2
2024-11-02,13.06666667,83.56916667,10.19166667,0,1,2
2024-11-03,12.25833333,78.73041667,10.16666667,0,1,2
2024-11-04,11.2,80.65916667,8.225,0,0,2
2024-11-05,10.87916667,85.26333333,4.604166667,0,0,2
2024-11-06,10.075,92.76625,4.4375,0,0,2
2024-11-07,10.53333333,88.41416667,8.741666667,0,0,2
2024-11-08,9.4125,81.08791667,9.341666667,0,0,2
2024-11-09,8.3625,75.72083333,4.458333333,0,1,2
2024-11-10,9.020833333,86.16666667,5.295833333,0,1,2
2024-11-11,10.3375,77.94625,9.2625,0,0,2
2024-11-12,9.8125,79.3825,16.07916667,0,0,2
2024-11-13,9.570833333,82.31375,8.0875,0,0,2
2024-11-14,10.14583333,80.19041667,9.125,0,0,2
2024-11-15,8.033333333,77.99208333,5.804166667,0,0,2
2024-11-16,8.308333333,87.61625,10.40416667,0,1,2
2024-11-17,8.720833333,81.66416667,14.5,0,1,2
2024-11-18,7.704166667,90.10458333,6.5375,0,0,2
2024-11-19,4.645833333,90.48166667,12.4,0,0,2
2024-11-20,2.120833333,77.31375,16.17083333,0,0,2
2024-11-21,1.475,78.39708333,9.6875,0,0,2
2024-11-22,4.108333333,72.52875,17.50416667,0,0,2
2024-11-23,9.033333333,87.625,24.4875,0,1,2
2024-11-24,15.95416667,75.13416667,36.43333333,0,1,2
2024-11-25,9.945833333,78.325,17.58333333,0,0,2
2024-11-26,7.433333333,78.30416667,9.325,0,0,2
